,0,1
0,cant wait,9.861740010728582
1,no problem,9.727222005840908
2,not bad,9.390788568912669
3,don have to,8.986103375448039
4,happy,7.897566300837287
5,excited,7.374767203179921
6,can wait,7.184030536148138
7,welcome,7.048619138090058
8,glad,7.043203657128124
9,not sad,6.962979214287
10,awesome,6.809086157356439
11,smile,6.7368973032248025
12,thanks,6.700333862061296
13,good,6.581689054596295
14,no prob,6.42542541042418
15,no worries,6.419228301553468
16,yay,6.352015049829547
17,smiling,6.341096644033467
18,cannot wait,6.308459705453486
19,not so bad,6.303111842434236
20,not too bad,6.08785478527369
21,amazing,6.08473175930127
22,dont have to,5.999542827034879
23,love,5.983018475944297
24,congratulations,5.960509010649381
25,hehe,5.929208870044226
26,cool,5.915124393251272
27,proud,5.852579810735703
28,nice,5.8156295180819395
29,no school,5.592442276542961
30,no need,5.582837499198161
31,congrats,5.413187113527505
32,no problems,5.376280365881409
33,thank,5.368334057892124
34,not alone,5.311770904756485
